QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-ونحث القادة المعنيين على إبداء المرونة الكافية في المفاوضات التي تجري ح ـ ـ ـ ا بهدف وضع قوانين انتخابية مناسبة للبلد .-

- الحرف الأول [ ح ] - الحرف الأخير [ ا ] - [ ح ـ ـ ـ ا ] - عدد الحروف 5 -",حاليا,وحاليا,الحاليا
"-94 - تنص المبادئ التوجيهية بشأن شكل ومحتوى التقارير التي يتعين تقديمها إلى ل ـ ـ ـ  الحقوق الاقتصادية والاجتماعية والثقافية على الإبلاغ عن العقبات المصادفة والجهود التي تبذل للتغلب عليها .-

- الحرف الأول [ ل ] - [ ل ـ ـ ـ  ] - عدد الحروف 4 -",لجنة,ولجنة,بلجنة
"-وما تم كان حركة القوات العائدة من الجنوب إلى دارفور تنفيذا لاتفاق السلام الشامل ، وعملا ب ـ ـ ـ ـ ـ ة 7 من القرار 1591 التي نصت على الاستثناء التالي : &apos; &apos; يقرر عدم سريان هذه التدابير فيما يتعلق بالمساعدة والإمدادات المقدمة دعما لتنفيذ اتفاق السلام الشامل`` .-

- الحرف الأول [ ب ] - الحرف الأخير [ ة ] - [ ب ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",بالفقرة,والفقرة,الفقرة
"-والواقع أن التجربة الماضية أظهرت أن هذا الخيار لا يقتضي تطبيق مجموعة من معايير التوسيع "" الموضوعية "" بل حلا مؤقتا يستبعد بعض البلدان طالبة العضوية وإن كان هذا الحل مقبولا لجميع الدول ا ـ ـ ـ ـ ـ ء في المؤتمر .-

- الحرف الأول [ ا ] - الحرف الأخير [ ء ] - [ ا ـ ـ ـ ـ ـ ء ] - عدد الحروف 7 -",الأعضاء,فالأعضاء,والأعضاء
"-٢ - وكان من شأن الزخم الذي أعطاه لدراسات مشروع إقامة وصلة ثابتة عبر مضيق جبل طارق المقرر الذي اتخذته في ١٩٨٠ الحكومتان الاسبانية والمغربية بالاضطلاع معا بالدراسات ، والأهمية الجغرافية الاستراتيجية التي يتسم بها هذا المشروع ، وكذلك الدور ا ـ ـ ـ م الذي يمكن أن يقوم به في إطار تنمية عدد من البلدان والمناطق وإدماجها في الاقتصاد الدولي أن أدى الى اهتمام المجلس الاقتصادي والاجتماعي بتطور هذه الدراسات .-

- الحرف الأول [ ا ] - الحرف الأخير [ م ] - [ ا ـ ـ ـ م ] - عدد الحروف 5 -",الهام,الهامى,والهام
"-وفي ختام الجلسة 5348 ، و ـ ـ ـ ا للمادة 55 من النظام الداخلي المؤقت لمجلس الأمن ، صدر البلاغ التالي عن طريق الأمين العام ، بدلا من محضر حرفي :-

- الحرف الأول [ و ] - الحرف الأخير [ ا ] - [ و ـ ـ ـ ا ] - عدد الحروف 5 -",ووفقا,وفقا,فوفقا
"-9 - وبالتعاون مع مصرف التنمية الآسيوي ومؤتمر الأمم المتحدة للتجارة و ـ ـ ـ ـ ـ ـ ة ، نظمت اللجنة الاقتصادية والاجتماعية لآسيا والمحيط الهادئ الاجتماع التحضيري الرفيع المستوى الإقليمي لمؤتمر الأمم المتحدة الثالث المعني بأقل البلدان نموا ، الذي عقد في داكا ، بنغلادش ، في تشرين الثاني / نوفمبر 2000 .-

- الحرف الأول [ و ] - الحرف الأخير [ ة ] - [ و ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 8 -",والتنمية,فالتنمية,والتنميه
"-( ب ) اعترف بأهمية ما يقوم به مراجع ا ـ ـ ـ ـ ـ ـ ت الخارجي من إسهام في تحسين إدارة اليونيدو وعملياتها وأدائها من خلال ما يقدمه من توصيات ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ت ] - [ ا ـ ـ ـ ـ ـ ـ ت ] - عدد الحروف 8 -",الحسابات,بالحسابات,والحسابات
"-439 - وتلاحظ اللجنة مع القلق أن فنلندا لم تخصص سوى نسبة مئوية قدرها 0 . 32 في المائة من الناتج ا ـ ـ ـ ـ ي الإجمالي للتعاون الدولي في عام 1999 ، بينما حددت توصية الأمم المتحدة في هذا الصدد نسبة 0 . 7 في المائة من الناتج المحلي الإجمالي للبلدان الصناعية .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ي ] - عدد الحروف 6 -",القومي,والقومي,القومين
"-وأنشئت لجان للإدارة ينتخب أفراد ا ـ ـ ـ ـ ـ ع المحلي أعضاءها وهي مكلفة بتشجيع وحفز المجتمعات المحلية على المشاركة .-

- الحرف الأول [ ا ] - الحرف الأخير [ ع ] - [ ا ـ ـ ـ ـ ـ ع ] - عدد الحروف 7 -",المجتمع,المجتمعى,فالمجتمع
"-وفيما ي ـ ـ  الكيانات التي يضطلع فيها المكتب بتغطية مراجعة الحسابات ، يعرب عن ارتياحه لأنه سيتمكن من خلال الخدمات التي يقدمها من الحصول على معلومات تؤكد للأمين العام وجود ما يكفي من آليات الرقابة ( معهد الأمم المتحدة للتدريب والبحث وجامعة الأمم المتحدة والصندوق المشترك للمعاشات التقاعدية لموظفي الأمم المتحدة ومكتب برنامج العراق وصندوق الأمم المتحدة للشراكات الدولية ) .-

- الحرف الأول [ ي ] - [ ي ـ ـ  ] - عدد الحروف 3 -",يخص,فيما,يتعلق
"-وإذ تؤكد الإعلان العالمي المتعلق بالتنوع الثقافي الذي اعتمده المؤتمر العام لمنظمة الأمم المتحدة للتربية والعلم والثقافة في 2 تشرين الثاني / نوفمبر 2001 ( ) ، بما في ذلك مناشدته تدعيم أوجه التضامن القائم على أساس الاعتراف بالتنوع الثقافي والوعي بوحدة ا ـ ـ ـ س البشري وتنمية العلاقات المتبادلة بين الثقافات ،-

- الحرف الأول [ ا ] - الحرف الأخير [ س ] - [ ا ـ ـ ـ س ] - عدد الحروف 5 -",الجنس,فالجنس,الجنسى
"-وبعد أن شهد الاجتماع الحادي و ـ ـ ـ ـ ـ ـ ن للأطراف في عام 2009 ، مشاورات ومناقشات غير حاسمة ، اتفقت الأطراف على إدراج المسألة على جدول أعمال الاجتماع الثاني والعشرين للأطراف على أن يكون من المفهوم أن الاتحاد الأوروبي سوف يواصل في الأثناء إجراء مناقشات غير رسمية .-

- الحرف الأول [ و ] - الحرف الأخير [ ن ] - [ و ـ ـ ـ ـ ـ ـ ن ] - عدد الحروف 8 -",والعشرون,والعشروني,العشرون
"-غير أن ممثلين آخرين قالوا إن مساهمة بروتوكول مونتريال يمكن أن تدعم هذه المناقشات ، لا أن تعيقها ، وإن من الواجب إجراء تقص إضافي للصلات بين بروتوكول كيوتو وبروتوكول مونتريال بشأن مركبات ا ـ ـ ـ ـ ـ ن الهيدروفلورية وغيرها من المسائل الأخرى .-

- الحرف الأول [ ا ] - الحرف الأخير [ ن ] - [ ا ـ ـ ـ ـ ـ ن ] - عدد الحروف 7 -",الكربون,لكربون,الكربونة
"-وما دامت بنية النظام الاقتصادي الدولي الجائر الحالي باقية كما هي ، فمن المتعذر إزالة الفجوة المتزايدة الاتساع بين الغنى والفقر ، بين البلدان المتقدمة النمو و ـ ـ ـ ـ ـ ـ ن النامية ، وإنقاذ البلدان النامية من الفقر والأمراض والكوارث ويجب على البلدان المتقدمة النمو أن تقبل تحمل المسؤولية عن ذلك وتمتنع عن القيام بأية أعمال تضر بالتنمية الاقتصادية للبلدان النامية .-

- الحرف الأول [ و ] - الحرف الأخير [ ن ] - [ و ـ ـ ـ ـ ـ ـ ن ] - عدد الحروف 8 -",والبلدان,البلدان,فالبلدان
"-وكثيرا ما تجبر النساء على إقامة علاقات جنسية ط ـ ـ ـ ة الأمد و / أو السخرة لدى رجال من ذوي النفوذ يتحكمون في مصيرهن ويكون البغاء سمة شائعة من سمات حالات الصراع .-

- الحرف الأول [ ط ] - الحرف الأخير [ ة ] - [ ط ـ ـ ـ ة ] - عدد الحروف 5 -",طويلة,وطويلة,بطويلة
