QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-وثمة اثنتان من أدوات التخطيط والإدارة تبشران بالأمل أكثر من غيرهما بشأن التنمية المستدامة للسياحة هما مفهوم "" البصمة الإيكولوجية "" والإدارة ا ـ ـ ـ ـ ـ ـ ـ ة للمنطقة الساحلية .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 9 -",المتكاملة,والمتكاملة,المتكامله
"-ولدى اختيار دول إضافية في مجلس موسع ، ينبغي أن يؤخذ في الحسبان تعداد السكان - الذي يمثل مبدأ للديمقراطية وعنصرا للقوة - وحجم الاقتصاد والمستقبل المحتمل للبلدان ا ـ ـ ـ ـ ـ ة ، بالإضافة إلى التوزيع الجغرافي المنصف ، والمساهمة في صون السلم والأمن الدوليين .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",المعنية,والمعنية,المعنين
"-وندرك أن الصندوق والمجلس يؤديان دورا هاما في التأكيد للجهات المانحة والدائنين بأن العراق يدير موارده وديونه بصورة مسؤولة وعلى أفضل وجه لصالح ا ـ ـ ـ ب العراقي .-

- الحرف الأول [ ا ] - الحرف الأخير [ ب ] - [ ا ـ ـ ـ ب ] - عدد الحروف 5 -",الشعب,فالشعب,والشعب
"-وفي هذا السياق ، فإن المجلس يطلب إلى جميع الأطراف أن تستجيب بشكل إيجابي ضمن الإطار الزمني المتفق عليه للصيغة المعدلة التي أعدتها مجموعة مينسك في ١٣ آب / أغسطس "" للجدول الزمني للخطوات العاجلة التي ي ـ ـ ـ ن اتخاذها لتنفيذ قراري مجلس الأمن التابع للأمم المتحدة ٨٢٢ ) ١٩٩٣ ( و ٨٥٣ ) ١٩٩٣ ( "" والامتناع عن القيام بأي-

- الحرف الأول [ ي ] - الحرف الأخير [ ن ] - [ ي ـ ـ ـ ن ] - عدد الحروف 5 -",يتعين,سيتعين,فيتعين
"-إننا نشعر بالقلق لأن الجلسات الرسمية للمجلس تصبح متزايدة القصر ، وتصير بصورة متزايدة مجرد مناسبات شكلية ، بإجراء المناقشات واتخاذ القرارات في ج ـ ـ ـ ت مغلقة غير رسمية باستبعاد الأطراف المعنية ومجموع الأعضاء .-

- الحرف الأول [ ج ] - الحرف الأخير [ ت ] - [ ج ـ ـ ـ ت ] - عدد الحروف 5 -",جلسات,الجلسات,لجلسات
"-89 - ما فتئ الأونكتاد يسترعي اهتمام المجتمع الدولي بالتحديات الإنمائية الخاصة التي تواجهها الدول ا ـ ـ ـ ـ ـ ة الصغيرة النامية ، وبضرورة اتخاذ تدابير خاصة لدعم هذه الدول .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الجزرية,والجزرية,جزرية
"-16 - وتجدر كذلك ملاحظة أن الملخصات التي تقدمها الأطراف يجب أن تركز أيضا على مواضيع ا ـ ـ ـ ـ ـ ـ ـ ض الرئيسية الموجز بيانها لعملية ا ـ ـ ـ ـ ـ ـ ـ ض التي تقوم بها لجنة ا ـ ـ ـ ـ ـ ـ ـ ض .-

- الحرف الأول [ ا ] - الحرف الأخير [ ض ] - [ ا ـ ـ ـ ـ ـ ـ ـ ض ] - عدد الحروف 9 -",الاستعراض,والاستعراض,الاستعراضي
"-مسائل أنغيلا وبرمودا وتوكيلاو و ـ ـ ـ  تركس وكايكوس و ـ ـ ـ  فرجن البريطانية و ـ ـ ـ  فرجن التابعة للولايات المتحدة و ـ ـ ـ  كايمان وساموا الأمريكية وغوام ومونتسيرات-

- الحرف الأول [ و ] - [ و ـ ـ ـ  ] - عدد الحروف 4 -",وجزر,وجزره,كجزر
"-وحاولت كتلة الجماعة الكاريبية في البداية تشجيع نوع من توزيع مهام الإنتاج ، فيما بين أعضائها ، وخاصة في مجال الصناعة ا ـ ـ ـ ـ ـ ـ ـ ة إلا أن هذا العمل قد تعطل نظرا لأن كل بلد من البلدان يفضل مواصلة تخصصه القديم .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 9 -",التحويلية,والتحويلية,تحويلية
"-86 - يتعين على السلطة الفلسطينية أن تكفل احترام حقوق الإنسان وسيادة ا ـ ـ ـ ـ ـ ن .-

- الحرف الأول [ ا ] - الحرف الأخير [ ن ] - [ ا ـ ـ ـ ـ ـ ن ] - عدد الحروف 7 -",القانون,فالقانون,والقانون
