QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-وقد استقطبت هذه الجهود التي تبذلها الحكومة فئات ا ـ ـ ـ ـ ـ ع المدني ، التي أصبحت معنية وذات صلة بالاستجابة الوطنية لفيروس نقص المناعة البشرية / الإيدز ، عبر العديد من الجماعات الدينية والمجتمعات المحلية .-

- الحرف الأول [ ا ] - الحرف الأخير [ ع ] - [ ا ـ ـ ـ ـ ـ ع ] - عدد الحروف 7 -",المجتمع,المجتمعى,فالمجتمع
"-"" وإذ نلاحظ بقلق ظهور أشكال جديدة ومستجدة من الجريمة عبر ا ـ ـ ـ ـ ـ ة ،-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الوطنية,لوطنية,بالوطنية
"-ويجب أيضا أن يستكمل برنامج ا ـ ـ ـ ـ ـ ة جدول أعمال القرن ٢١ ، الذي يعكس بالفعل معظم اهتمامات المجتمع الدولي المتعلقة بالتنمية .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",التنمية,فالتنمية,وبالتنمية
"-ويسعى أكثر من 70 في المائة من الحكومات المحلية التي اعتمدت استراتيجيات متعلقة بجداول أعمال القرن 21 المحلية إلى الاستفادة من مساهمة م ـ ـ ـ ف أصحاب المصلحة ، وتوجد أكثر العمليات شمولا في أقل البلدان نموا .-

- الحرف الأول [ م ] - الحرف الأخير [ ف ] - [ م ـ ـ ـ ف ] - عدد الحروف 5 -",مختلف,ولمختلف,فمختلف
"-وتأمل هولندا أن يعتمد مشروع ا ـ ـ ـ ـ ر بتوافق الآراء وأن يؤدي ذلك إلى المزيد من الدعم للمحكمة الجنائية الدولية في مكافحة الإفلات من العقاب وفي محاولاتها لمساءلة مرتكبي الجرائم الجسيمة عن أفعالهم .-

- الحرف الأول [ ا ] - الحرف الأخير [ ر ] - [ ا ـ ـ ـ ـ ر ] - عدد الحروف 6 -",القرار,والقرار,فالقرار
"-125 - لقد ترسخ مذهب "" ضبط التجارة "" ، الذي وردت الإشارة إليه في ا ـ ـ ـ ـ ـ ر الأولي ، إلى حد أكبر في القضايا القضائية الحديثة .-

- الحرف الأول [ ا ] - الحرف الأخير [ ر ] - [ ا ـ ـ ـ ـ ـ ر ] - عدد الحروف 7 -",التقرير,والتقرير,التقريري
"-وبالمثل ، فإن هذه الوثيقة قد تم اعتمادها من قبل مجلس الأمن ، لأول مرة ، في جلسة ع ـ ـ ـ  ، وهي تتضمن تذييلا جديدا أدرجت فيه بالترتيب الزمني قائمة بالبيانات التي أصدرها رئيس مجلس الأمن خلال الفترة الزمنية التي يتناولها التقرير .-

- الحرف الأول [ ع ] - [ ع ـ ـ ـ  ] - عدد الحروف 4 -",عامة,بصفة,عامة تقع
"-وقد أدخل نظام معلم الفصل الى مدارس البحرين في العام الدراسي 83 / 84 ، ضمن مشروع تطوير واسع أدخل على ا ـ ـ ـ ـ ـ م الإبتدائي وشمل أهداف ا ـ ـ ـ ـ ـ م ومناهجه وأساليب ا ـ ـ ـ ـ ـ م والتقويم واعداد المعلمين وتأهيلهم للخدمة والإدارة المدرسية وتصميم المبنى المدرسي .-

- الحرف الأول [ ا ] - الحرف الأخير [ م ] - [ ا ـ ـ ـ ـ ـ م ] - عدد الحروف 7 -",التعليم,فالتعليم,والتعليم
"-ورحبت ا ـ ـ ـ ـ ة بالمعلومات التي قدمها شفويا ممثل الدولة المقدمة للتقرير ، وهي معلومات وضﱠحت العديد من المسائل ، على الرغم من أن عددا كبيرا من المسائل التي أثارتها ا ـ ـ ـ ـ ة ظلت دون جواب .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ة ] - عدد الحروف 6 -",اللجنة,فاللجنة,عضواللجنة
"-( د ) مواصلة التماس المساعدة من المفوضية ا ـ ـ ـ ـ ـ ة لحقوق الإنسان واليونيسيف ، من بين منظمات أخرى .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",السامية,والسامية,بالسامية
