QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-وخلال ا ـ ـ ـ ـ ـ ض برنامج عمل شعبة السكان التابعة لإدارة الشؤون الاقتصادية والاجتماعية في الأمانة العامة ، نظرت اللجنة في عدد من الدراسات ذات الجوانب الجنسانية ، ومن بينها على سبيل المثال دراسات عن أنماط الزواج وسياسات الإجهاض وارتفاع نسبة كبار السن بين السكان .-

- الحرف الأول [ ا ] - الحرف الأخير [ ض ] - [ ا ـ ـ ـ ـ ـ ض ] - عدد الحروف 7 -",استعراض,كاستعراض,الاستعراض
"-٦ - وناقش الرئيس شيسانو والسيد دلاكاما بعض المسائل ا ـ ـ ـ ـ ة الأخرى ، بما فيها المسائل المتعلقة بحيادية الصحافة والمساعدة الاقتصادية لرينامو .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ة ] - عدد الحروف 6 -",الهامة,والهامة,المهمة
"-٥٢ هاء - ٦٠١ وبموجب اتفاقات تقاسم التكاليف القائمة مع اليونيدو والوكالة الدولية للطاقة الذرية تقدر المبالغ المسددة عن الخدمات التي يقدمها م ـ ـ ـ  الأمم المتحدة في فيينا ، والتي ترد في باب الإيرادات ٢ ، بمبلغ ١٠٠ ٥٠٣ ٢ دولار ، على افتراض استمرار نفس مستوى الطلب في عامي ١٩٩٤ و ١٩٩٥ .-

- الحرف الأول [ م ] - [ م ـ ـ ـ  ] - عدد الحروف 4 -",مكتب,كمكتب,المكتب
"-٥٢ - توفر المنظمات الدولية داخل وخارج منظومة الأمم المتحدة ، مصدرا محدودا للموظفين من ذوي ا ـ ـ ـ ـ ة الذين يمكن إعارتهم لعمليات حفظ السلم .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ة ] - عدد الحروف 6 -",الخبرة,والخبرة,لخبرة
"-44 - وافق المجلس واللجنة في السنة الماضية على عدة توصيات لتحسين نظام الجزاءات المفروضة على تنظيم القاعدة وحركة ا ـ ـ ـ ـ ـ ـ ن من حيث عدالته وشفافيته ، مع تفصيل العديد من هذه التحسينات في التقرير السابق للفريق ( S / 2006 / 154 ، الفقرة 41 ) .-

- الحرف الأول [ ا ] - الحرف الأخير [ ن ] - [ ا ـ ـ ـ ـ ـ ـ ن ] - عدد الحروف 8 -",الطالبان,لطالبان,طالبان
"-ويتطلب إحقاق هذه الحقوق الإرادة السياسية ، ورصد قدر مناسب من الموارد ، وكفالة عدم التضحية بحق المرأة في الموارد ا ـ ـ ـ ـ ـ ـ ة في سبيل أولويات أخرى .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 8 -",الأساسية,والأساسية,الأساسي
"-وفي الحالات التي يجد فيها منسق عمليات الإغاثة في حالات الطوارئ و ـ ـ ـ ـ ء اللجنة الدائمة أنه من الضروري تعيين منسق للمساعدة الإنسانية من خارج جهاز المنسقين المقيمين يمكن أيضا لذلك المنسق ، من حيث المبدأ ، ذكرا كان أم أنثى ، أن يعين كمنسق مقيم ؛-

- الحرف الأول [ و ] - الحرف الأخير [ ء ] - [ و ـ ـ ـ ـ ء ] - عدد الحروف 6 -",وأعضاء,وأعضاءه,وأعضاءها
"-وأوكرانيا تتفهم وتتشاطر مشاعر الحزن وتعرب عن تعاطفها الصادق مع شعب اليابان في خسائره خلال الكارثة الطبيعية التي و ـ ـ ـ  مؤخرا والتي أدت إلى حادث محطة فوكوشيما للطاقة وانبعاث الإشعاع .-

- الحرف الأول [ و ] - [ و ـ ـ ـ  ] - عدد الحروف 4 -",وقعت,ووقعت,حدثت
"-6 - استذكر الوزراء الدور التاريخي للمجتمع الدولي والتزاماته ، ولا سيما ، في هذا الصدد ، مجلس الأمن و ـ ـ ـ ـ ـ ـ ة العامة للأمم المتحدة .-

- الحرف الأول [ و ] - الحرف الأخير [ ة ] - [ و ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 8 -",والجمعية,كالجمعية,الجمعية
"-١٧ - يتضمن المرفقان الثاني والثالث لتقرير الأمين العام معلومات ت ـ ـ ـ ق بالأداء المالي لقوة الأمم المتحدة للحماية في الفترة من ١ نيسان / أبريل الى ٣٠ حزيران / يونيه ١٩٩٣ .-

- الحرف الأول [ ت ] - الحرف الأخير [ ق ] - [ ت ـ ـ ـ ق ] - عدد الحروف 5 -",تتعلق,المتعلقة,لاتتعلق
