QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-113 - ونقر بأن عواقب الاسترقاق والاتجار بالرقيق وغيرها من أشكال السخرة و [ الاستعمار ] قد ألحقت أضرارا كبيرة ومستمرة على الصعد الاقتصادية والسياسية والثقافية بالأفريقيين والمتحدرين من أصل أ ـ ـ ـ ـ ي ، وبالشعوب الأصلية ، وبأن هذه الأضرار التي كان لها آثار مدمرة على التنمية الاجتماعية - الاقتصادية لهذه الشعوب ، لا سيما في أفريقيا ، تستوجب الآن بذل جهود كبيرة على الصعيدين الوطني والدولي لجبر هذه الأضرار ؛-

- الحرف الأول [ أ ] - الحرف الأخير [ ي ] - [ أ ـ ـ ـ ـ ي ] - عدد الحروف 6 -",أفريقي,إفريقي,افريقي
"-ولاحظ هؤلاء العلماء حدوث تراكم بيولوجي كبير ل ـ ـ ـ  المادة بعد ست ساعات من التعرض للمادة مرة واحدة عن طريق الفم ، وبلغت التركيزات أعلى مستوى لها بعد 4 إلى 8 أيام .-

- الحرف الأول [ ل ] - [ ل ـ ـ ـ  ] - عدد الحروف 4 -",لهذه,لتلك,للهذه
"-٧٠٢ - وأخيرا ، اتفقت ا ـ ـ ـ ـ ة على أنه ، وإن كانت مسائل السياسة فيما يتعلق بنظام مجموعة السوابق القضائية ، يقع في إطار ولايتها ، فإن التفاصيل المحددة لتشغيل النظام يجب أن تترك لتقدير المراسلين الوطنيين .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ة ] - عدد الحروف 6 -",اللجنة,فاللجنة,عضواللجنة
"-كما استعرضت اللجنة في اجتماعها اختصاصاتها المنقحة واعتمدتها ، وأكدت مجددا التزامها بحماية المدنيين ، وشددت على ضرورة تجنيب المدنيين الإصابات من خلال التدريب وجمع المعلومات وتوفير المعدات التشغيلية المناسبة وتطبيق قواعد الاشتباك ذات الصلة و ـ ـ ـ  للقانون الدولي .-

- الحرف الأول [ و ] - [ و ـ ـ ـ  ] - عدد الحروف 4 -",وفقا,ووفقا,طبقا
"-أما السرية النرويجية فهي موزعة في وسط منطقة ا ـ ـ ـ ـ ـ ـ ت ويوجد مقر قيادتها في جورج بيتروف على مشارف اسكوبيه .-

- الحرف الأول [ ا ] - الحرف الأخير [ ت ] - [ ا ـ ـ ـ ـ ـ ـ ت ] - عدد الحروف 8 -",العمليات,والعمليات,فالعمليات
"-وقرر مجلس الأمن ، في قراره 1644 ( 2005 ) المؤرخ 15 كانون الأول / ديسمبر 2005 أن يمدد ولاية اللجنة إلى موعد غايته 15 حزيران / يونيه 2006 بصفة مبدئية ، وأذن لها بأن تقوم عند الاقتضاء ، بتزويد السلطات اللبنانية ب ـ ـ ـ ـ ـ ـ ـ ة التقنية في تحقيقاتها في الاعتداءات ال 14 الأخرى التي ارتكبت في لبنان منذ 1 تشرين الأول / أكتوبر 2004 .-

- الحرف الأول [ ب ] - الحرف الأخير [ ة ] - [ ب ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 9 -",بالمساعدة,والمساعدة,المساعدة
"-وقدر مجموع الاستثمارات في هذه المشاريع بمبلغ ٤٦٧ مليونا من دولارات الولايات المتحدة وورد منها مبلغ ٣٦٥ مليونا من دولارات الولايات المتحدة من مصادر خ ـ ـ ـ ـ ة ) البنك الدولي والمؤسسة الانمائية الدولية والصندوق الدولي للتنمية الزراعية ومصرف التنمية الافريقي وصندوق الأمم المتحدة للمشاريع الانتاجية بصفة رئيسية ( ؛ والتزمت البلدان الخمسة عشر المستفيدة بتوفير الباقي .-

- الحرف الأول [ خ ] - الحرف الأخير [ ة ] - [ خ ـ ـ ـ ـ ة ] - عدد الحروف 6 -",خارجية,وخارجية,حارجية
"-"" ١٠ - تدعو منظومة الأمم المتحدة إلى مساعدة البلدان النامية ، بناء على طلبها ، في تنمية قدراتها على القيام ، عن طريق جملة أ ـ ـ ـ  منها وضع مؤشرات مناسبة ، وإحراز التقدم في اشباع احتياجات سكانها الاقتصادية والاجتماعية والثقافية الأساسية تحقيقا لتنمية الموارد البشرية ، وتطلب إلى الأمين العام أن يدرج في التقرير المطلوب في الفقرة ٩ أعلاه معلومات عن الخطوات المتخذة في هذا السبيل ؛-

- الحرف الأول [ أ ] - [ أ ـ ـ ـ  ] - عدد الحروف 4 -",أمور,وأمور,أموره
"-: : عقد اجتماعين على الأقل لكل من الفريق العامل المعني بدعم الجهات المانحة في الخرطوم وجوبا بحضور ممثلين عن الدول المانحة بشأن تنمية ق ـ ـ ـ ت السلطة الوطنية والوحدة المتكاملة المشتركة لإزالة الألغام ، بما في ذلك تقديم الجهات المانحة للدعم في مجال معدات إزالة الألغام والبنى التحتية والتدريب للوحدات المتكاملة المشتركة لإزالة الألغام-

- الحرف الأول [ ق ] - الحرف الأخير [ ت ] - [ ق ـ ـ ـ ت ] - عدد الحروف 5 -",قدرات,وقدرات,القدرات
"-وسيتناول مشروع الاستراتيجية تطوير وتحديث المعابر الحدودية القانونية بين الجمهورية العربية السورية ولبنان ، بما في ذلك فتح معبر قانوني جديد سيرفع ا ـ ـ ـ د الإجمالي لهذه المعابر إلى ستة ، تبعا للاتفاقات الموقعة بين الحكومتين في تموز / يوليه .-

- الحرف الأول [ ا ] - الحرف الأخير [ د ] - [ ا ـ ـ ـ د ] - عدد الحروف 5 -",العدد,فالعدد,العددى
"-"" ووجه الرئيس ، بموافقة ا ـ ـ ـ ـ س ، وعملا بالقرار الذي اتخذه ا ـ ـ ـ ـ س في جلسته 5369 وبموجب المادة 39 من النظام الداخلي المؤقت دعوة إلى السيد جان - ماري غيهينو وكيل الأمين العام لعمليات حفظ السلام .-

- الحرف الأول [ ا ] - الحرف الأخير [ س ] - [ ا ـ ـ ـ ـ س ] - عدد الحروف 6 -",المجلس,والمجلس,لالمجلس
