QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-وليس هناك دليل على أن مديري ا ـ ـ ـ ـ ـ ج ، في كل أنحاء المنظمة ، يقومون على أساس منتظم بجمع واستعراض البيانات والمعلومات ، كل بشأن برنامجه لغرض تحليل الأداء وتعزيز فعالية وكفاءة الانجاز .-

- الحرف الأول [ ا ] - الحرف الأخير [ ج ] - [ ا ـ ـ ـ ـ ـ ج ] - عدد الحروف 7 -",البرامج,فالبرامج,كالبرامج
"-ولقد دخل حيز ا ـ ـ ـ ـ ذ في 1 كانون الأول / ديسمبر 1999 القانون الخاص بالتدابير المتعلقة باستيراد وتصدير وإعادة تصدير السلع التي تمثل انتهاكا لبعض حقوق الملكية الفكرية ؛ ويسمح هذا القانون للسلطات الجمركية باتخاذ التدابير اللازمة لمكافحة تزوير السلع أو تقليدها بدون ترخيص بذلك ، بما في ذلك مصادرة تلك السلع وإتلافها .-

- الحرف الأول [ ا ] - الحرف الأخير [ ذ ] - [ ا ـ ـ ـ ـ ذ ] - عدد الحروف 6 -",النفاذ,والنفاذ,بالنفاذ
"-٥٠ - ومن شأن الهيكل التنظيمي الوارد وصفه أعلاه تعزيز الكفاءة في التعامل مع قصر الفترات المالية مما يؤدي الى ت ـ ـ ـ م ميزانيات حفظ السلم على فترات متواترة ؛ وتيسير إعداد طلبات الآثار المالية التي تقدم الى مجلس الأمن وطلبات تفويض سلطة الالتزام للبعثات الجديدة والموسعة ريثما يتم ت ـ ـ ـ م تقديرات تفصيلية بالتكاليف الى الجمعية العامة ؛ والتقليل الى أدنى حد من التأخير في ت ـ ـ ـ م تقارير أداء الميزانية وتقديراتها الى الجمعية العامة .-

- الحرف الأول [ ت ] - الحرف الأخير [ م ] - [ ت ـ ـ ـ م ] - عدد الحروف 5 -",تقديم,كتقديم,تقديمك
"-32 - وفقا لإحصاءات مفوضية الأمم المتحدة لشؤون اللاجئين ، عاد نحو 523 مشردا داخليا طوعا إلى كوسوفو خلال ا ـ ـ ـ ـ ة المشمولة بالتقرير ، منهم 268 شخصا كانوا من صرب كوسوفو .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ة ] - عدد الحروف 6 -",الفترة,والفترة,فالفترة
"-وضم المشاركون ممثلين من المكاتب القطرية وغيرها من الشعب التابعة لإدارة الشؤون الاقتصادية و ـ ـ ـ ـ ـ ـ ـ ـ ـ ة ، فضلا عن وكالات الأمم المتحدة ، بما فيها صندوق الأمم المتحدة للسكان وصندوق الأمم المتحدة الإنمائي للمرأة .-

- الحرف الأول [ و ] - الحرف الأخير [ ة ] - [ و ـ ـ ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 11 -",والاجتماعية,والاقتصادية,والسياسية
"-٣٣ - وأعرب عن القلق بشأن زيادة طلبات الهيئات الحكومية الدولية المقدمة للحصول على استثناءات من نظام عقد دوراتها كل سنتين ، وخاصة نظرا لأن هذه الطلبات لا تسفر عن عقد د ـ ـ ـ ت أقصر مدة .-

- الحرف الأول [ د ] - الحرف الأخير [ ت ] - [ د ـ ـ ـ ت ] - عدد الحروف 5 -",دورات,بدورات,كدورات
"-170 - ويخلص الفريق إلى أن شركة لافسيفتش لم تقدم فيما يتعلق بالأعمال المنفذة حتى 29 أيلول / سبتمبر 1990 أدلة كافية لإثبات موعد الانتهاء من ا ـ ـ ـ ـ ـ ل أو حجم ا ـ ـ ـ ـ ـ ل المنجزة أو قيمة ا ـ ـ ـ ـ ـ ل المنجزة .-

- الحرف الأول [ ا ] - الحرف الأخير [ ل ] - [ ا ـ ـ ـ ـ ـ ل ] - عدد الحروف 7 -",الأعمال,ألأعمال,الاعمال
"-وكان السبب وراء هذه الحادثة المأساوية التي أسفرت عن وقوع قتلى بين المهاجرين السود الأفريقيين ، من بينهم اثنان من الإيفواريين ، خلافا تافها نشب أثناء مبارات ل ـ ـ ـ  القدم في مطلع شهر أيلول / سبتمبر . وسرعان ما تفاقم وتحول إلى معركة كر وفر بين الشباب الليبيين والنيجيريين ما لبثت أن اتسعت نطاقا في غضون بضعة أسابيع لتشمل جميع المهاجرين السود المقيمين في ليبيا "" .-

- الحرف الأول [ ل ] - [ ل ـ ـ ـ  ] - عدد الحروف 4 -",لكرة,القدم,القدممنتخب
"-وتعاني غواتيمالا ، قياسا إلى بلدان أمريكا اللاتينية الأخرى ، من مستويات مرتفعة للغاية من سوء التغذية المزمن بين الأطفال والفقر المدقع ، وبخاصة بين أبناء السكان الأصليين ، ويرجع ذلك ب ـ ـ ـ ة كبيرة إلى تاريخ طويل من الإقصاء الاجتماعي واللامساواة المفرطة .-

- الحرف الأول [ ب ] - الحرف الأخير [ ة ] - [ ب ـ ـ ـ ة ] - عدد الحروف 5 -",بصورة,فبصورة,وبصورة
"-السكان المشمولون بمن فيهم السكان في المناطق الريفية و ـ ـ ـ ـ ـ ـ ق الحضرية بحسب السن ونوع الجنس والأصل الاجتماعي والإثني ؛-

- الحرف الأول [ و ] - الحرف الأخير [ ق ] - [ و ـ ـ ـ ـ ـ ـ ق ] - عدد الحروف 8 -",والمناطق,كالمناطق,المناطق
"-12 - وأضاف قائلا إنه يجب أن يركز استعراض عام 2010 لقرارات إنشاء اللجنة على مواضيع جوهرية تتيح تحسين أ ـ ـ ـ  اللجنة وخدماتها المقدمة إلى بلدان ما بعد مرحلة النزاع .-

- الحرف الأول [ أ ] - [ أ ـ ـ ـ  ] - عدد الحروف 4 -",أداء,ولأداء,كأداء
"-و ـ ـ ـ ـ د عدد الحوادث أثناء الفترة التي يشملها هذا التقرير ، ولكن معظمها كان طفيفا بطبيعته .-

- الحرف الأول [ و ] - الحرف الأخير [ د ] - [ و ـ ـ ـ ـ د ] - عدد الحروف 6 -",وازداد,وازدادت,فازداد
"-ويقدم أمثلة على أثر تعميم الاستراتيجية البحرية والساحلية في الاستراتيجية المتوسطة الأجل للفترة 2010 - 2013 وبرنامج العمل ؛ ويناقش الدعم المقدم للبلدان لإجراء تقييمات للنظم الإيكولوجية وإدارتها ؛ ويسلط الضوء على دعم التكنولوجيا وما قدم لبناء القدرات ؛ ويعطي تفاصيل عن العمل المتعلق بالدول الجزرية ا ـ ـ ـ ـ ـ ة النامية .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الصغيرة,والصغيرة,بالصغيرة
