QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-في 6 آذار / مارس ، حضر أعضاء مجلس الأمن اجتماعا غير رسمي في إطار صيغة آريا مع الأمين العام لمنظمة ح ـ ـ  شمال الأطلسي ، جورج روبرتسون ، لمناقشة آخر تطورات الحالة في جنوب البلقان ، وبخاصة في جمهورية مقدونيا اليوغوسلافية السابقة وفي جنوب صربيا وفي كوسوفو ، جمهورية يوغوسلافيا الاتحادية .-

- الحرف الأول [ ح ] - [ ح ـ ـ  ] - عدد الحروف 3 -",حلف,وحلف,الحلف
"-1 - تظهر البيانات أنه لا يوجد في البلدان النامية سوى عدد محدود من المشاريع الصغيرة والمتوسطة الحجم ( أقل من 10 في المائة ) مستعدة استعدادا جيدا للأوضاع الجديدة والمنافسة المتزايدة في ا ـ ـ ـ ـ ـ ق العالمية .-

- الحرف الأول [ ا ] - الحرف الأخير [ ق ] - [ ا ـ ـ ـ ـ ـ ق ] - عدد الحروف 7 -",الأسواق,فالأسواق,لأسواق
"-إن المجموعة الأوروبية ودولها الأعضاء ملتزمة ا ـ ـ ـ ـ ـ ا شديدا بنظام مراقبة الصادرات النووية ، وهي ملتزمة ، على نحو أخص ، بالمبادئ التوجيهية التي اعتمدتها مجموعة الموردين النوويين .-

- الحرف الأول [ ا ] - الحرف الأخير [ ا ] - [ ا ـ ـ ـ ـ ـ ا ] - عدد الحروف 7 -",التزاما,والتزاما,إلتزاما
"-وتكون هذه التكاليف عالية في البداية ، لأن القدرات المحلية تحتاج إلى بناء ولأنه غالبا ما يلزم طلب قطع ا ـ ـ ـ ـ ر والخبرات من أماكن بعيد وربما استيرادها من الخارج .-

- الحرف الأول [ ا ] - الحرف الأخير [ ر ] - [ ا ـ ـ ـ ـ ر ] - عدد الحروف 6 -",الغيار,غيار,والمعدات
"-: : الإجراء 47 : احترام خيارات كل بلد وقراراته في مجال ا ـ ـ ـ ـ ـ م الطاقة النووية في الأغراض السلمية دون المساس بسياساته أو اتفاقات وترتيبات التعاون الدولي لاستخدام الطاقة النووية في الأغراض السلمية وسياساته المتعلقة بدورة الوقود .-

- الحرف الأول [ ا ] - الحرف الأخير [ م ] - [ ا ـ ـ ـ ـ ـ م ] - عدد الحروف 7 -",استخدام,استعمال,ياستخدام
"-86 - ذكرت الوفود ، أثناء تبادل للآراء ، أن قضايا أخرى تحتاج مزيدا من الاهتمام إن أريد للمشاريع الصغيرة والمتوسطة ا ـ ـ ـ م أن تصبح قادرة على المنافسة .-

- الحرف الأول [ ا ] - الحرف الأخير [ م ] - [ ا ـ ـ ـ م ] - عدد الحروف 5 -",الحجم,الحجمة,فالحجم
"-وواصلت لجنة منع الجريمة والعدالة الجنائية أعمالها الرامية إلى تعزيز ف ـ ـ ـ ـ ة منع الجريمة على صعيد المجتمعات المحلية .-

- الحرف الأول [ ف ] - الحرف الأخير [ ة ] - [ ف ـ ـ ـ ـ ة ] - عدد الحروف 6 -",فعالية,ففعالية,وفعالية
"-فعلى أساسها اتخذت خطوات هامة على مدى السنوات الخمس الماضية ، ومن ذلك إعداد كتاب قواعد كيوتو في اتفاقات مراكش ، وتحسين التركيز على ا ـ ـ ـ ـ ف ، ونقل التكنولوجيا والتنمية المستدامة الذي نص عليه إعلان دلهي الوزاري بشأن تغير المناخ والتنمية المستدامة ؛ وبرنامج عمل بوينس آيرس بشأن تدابير ا ـ ـ ـ ـ ف والتصدي ؛ والحلقة الدراسية للخبراء الحكوميين ، التي اتفق عليها أيضا في بوينس آيرس .-

- الحرف الأول [ ا ] - الحرف الأخير [ ف ] - [ ا ـ ـ ـ ـ ف ] - عدد الحروف 6 -",التكيف,والتكيف,التكيفي
"-وقد شمل نشاط البرنامج تقريبا جميع اللاجئين الذين هم ب ـ ـ ـ ة ماسة إلى المساعدة الغذائية ، مغطيا بذلك حوالي ثلث اللاجئين في العالم في عام ١٩٩٣ ؛ كما شمل أكثر من ٨٠ في المائة من العدد التقديري للمشردين .-

- الحرف الأول [ ب ] - الحرف الأخير [ ة ] - [ ب ـ ـ ـ ة ] - عدد الحروف 5 -",بحاجة,لتنسيق,وبحاجة
"-وتطبيق الدولة الطرف لأحكام العهد في هذا الصدد سيخضع لعملية تدقيق من جانب اللجنة وفقا لشروط صارمة تكفل امتثال الدولة الطرف لشروط شرعية ع ـ ـ  التقيد .-

- الحرف الأول [ ع ] - [ ع ـ ـ  ] - عدد الحروف 3 -",عدم,وعدم,لعدم
"-ويتمثل الهدف الرئيسي من هذا المؤتمر في صياغة مجموعة من المبادئ التي ستسترشد بها البلدان الأفريقية في مجالات الأمن ( العلاقات السياسية فيما بين الدول ) ؛ والاستقرار ( سير الأعمال السياسية المحلية ) ؛ والتنمية ا ـ ـ ـ ـ ـ ـ ـ ـ ة ( السياسات الإنمائية الوطنية ) ؛ والتعاون ( العلاقات ا ـ ـ ـ ـ ـ ـ ـ ـ ة فيما بين دول المنطقة ) .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 10 -",الاقتصادية,القتصادية,والاقتصادية
"-: : هناك حاجة إلى إ ـ ـ ـ ء المزيد من التحقيقات للتثبت من هويات أولئك الذين وجهوا / قادوا الهجوم وشاركوا فيه ، على أن تكون نقطة البداية في هذه التحقيقات استخدام المعلومات التي جمعها الفريق .-

- الحرف الأول [ إ ] - الحرف الأخير [ ء ] - [ إ ـ ـ ـ ء ] - عدد الحروف 5 -",إجراء,اجراء,إجراءه
"-كما أن التركيز على القضايا الجنسانية شكل "" نقطة انطلاق "" في المناقشات مع الشركاء بشأن الفوارق والاستبعاد من المجتمع والدعوة إلى استخدام ب ـ ـ ـ ـ ت مفصلة حسب الجنسين .-

- الحرف الأول [ ب ] - الحرف الأخير [ ت ] - [ ب ـ ـ ـ ـ ت ] - عدد الحروف 6 -",بيانات,كبيانات,بياناتك
"-٣٤ - طلب المنتدى المتعدد الأطراف الأول للتفاوض بشأن نزع السلاح ، المتمثل في اللجنة العشرية لنزع السلاح ، التي أنشئت في عام ١٩٥٩ نتيجة لاتفاق بين الولايات المتحدة الأمريكية واتحاد الجمهوريات الاشتراكية السوفياتية والمملكة المتحدة لبريطانيا العظمى وايرلندا الشمالية وفرنسا إلى الأمين العام للأمم المتحدة أن يوفر للجنة خدمات الأمم المتحدة ومرافقها في المقر الأوروبي للمنظمة في جنيف ، وطلب أن ت ـ ـ ـ  اللجنة عملها في وقت مبكر من عام ١٩٦٠ في جنيف .-

- الحرف الأول [ ت ] - [ ت ـ ـ ـ  ] - عدد الحروف 4 -",تبدأ,تبدأت,وتبدأ
"-لذلك تحث دولة أفغانستان الاسلامية على إيجاد حل لهذه المسألة من جانب هاتين الدولتين عن طريق ا ـ ـ ـ ـ ـ ـ ـ ت تحت رعاية الأمم المتحدة أو بموجب أية ترتيبات أخرى تكون مقبولة للجانبين ، مع مراعاة رغبات وأماني شعب كشمير .-

- الحرف الأول [ ا ] - الحرف الأخير [ ت ] - [ ا ـ ـ ـ ـ ـ ـ ـ ت ] - عدد الحروف 9 -",المفاوضات,والمفاوضات,لمفاوضات
"-وقد عقدنا العزم على إحراز تقدم كبير في جميع مجالات المعاهدة عن طريق ضمان التطبيق الكامل للمعايير الدولية لعدم الانتشار النووي بغية مواجهة التهديدات والتحديات الراهنة ، وذلك باتخاذ خطوات عملية نحو إزالة الأسلحة النووية بالكامل وبتعزيز التعاون الدولي في م ـ ـ ـ  استخدام الطاقة النووية للأغراض السلمية لصالح البشرية .-

- الحرف الأول [ م ] - [ م ـ ـ ـ  ] - عدد الحروف 4 -",مجال,بمجال,فمجال
"-المقرر ا ـ ـ ـ ص المعني بحالة حقوق الإنسان في السودان ( السيد غ .-

- الحرف الأول [ ا ] - الحرف الأخير [ ص ] - [ ا ـ ـ ـ ص ] - عدد الحروف 5 -",الخاص,بالخاص,الخاصة
"-تشجيع التأهيل ا ـ ـ ـ ـ ي والنفسي وإعادة الاندماج الاجتماعي للأطفال ضحايا النزاعات المسلحة ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ي ] - عدد الحروف 6 -",البدني,والبدني,البدنيه
"-وبدأت قوة الأمم المتحدة المؤقتة في لبنان وبعثة الأمم المتحدة في السودان وبعثة الأمم المتحدة المتكاملة في تيمور - ليشتي وبعثة الأمم المتحدة لتحقيق الاستقرار في هايتي في استخدام الألواح الشمسية لتشغيل معيدات التردد العالي جدا ، وتستخدم بعثة منظمة الأمم المتحدة لتحقيق الاستقرار في جمهورية الكونغو الديمقراطية و ـ ـ ـ ـ ة الأمم المتحدة للوجستيات أجهزة فرضنة الخواديم لتقليل عدد الخواديم داخل مراكز البيانات مما يقلل الحاجة إلى التبريد واستهلاك الكهرباء والتكاليف ذات الصلة .-

- الحرف الأول [ و ] - الحرف الأخير [ ة ] - [ و ـ ـ ـ ـ ة ] - عدد الحروف 6 -",وقاعدة,قاعدة,وقاعد
"-11 - يطلب إلى فريق الخبراء تقديم تقرير لمنتصف المدة إلى اللجنة بحلول 15 نيسان / أبريل 2009 وتقرير خطي نهائي إلى المجلس ، عن طريق اللجنة ، قبل خمسة عشر يوما من نهاية فترة و ـ ـ ـ ـ ه ، عن تنفيذ التدابير المفروضة بموجب الفقرات 7 و 9 و 11 من القرار 1572 ( 2004 ) والفقرة 6 من القرار 1643 ( 2005 ) ، وتقديم توصيات في هذا الشأن ؛-

- الحرف الأول [ و ] - الحرف الأخير [ ه ] - [ و ـ ـ ـ ـ ه ] - عدد الحروف 6 -",ولايته,لولايته,وولايته
